ORG,Prod_Line,Date,Total_Cases_Produced
LOU,LOU1,1/2/2024,39555
LOU,LOU2,1/2/2024,27337
LOU,LOU1,1/3/2024,56233
LOU,LOU2,1/3/2024,104646
LOU,LOU3,1/3/2024,53915
LOU,LOU4,1/3/2024,1070821
LOU,LOU1,1/4/2024,61034
LOU,LOU2,1/4/2024,13445
LOU,LOU3,1/4/2024,102246
LOU,LOU1,1/5/2024,42104
LOU,LOU2,1/5/2024,56644
LOU,LOU4,1/5/2024,324224
LOU,LOU5,1/5/2024,45723
LOU,LOU1,1/6/2024,96677
LOU,LOU2,1/6/2024,71465
LOU,LOU3,1/6/2024,117584
LOU,LOU4,1/6/2024,547509
LOU,LOU1,1/7/2024,93159
LOU,LOU2,1/7/2024,84054
LOU,LOU4,1/7/2024,160146
LOU,LOU2,1/8/2024,38638
LOU,LOU3,1/8/2024,90498
LOU,LOU4,1/8/2024,457777
LOU,LOU5,1/8/2024,22254
LOU,LOU1,1/9/2024,50481
LOU,LOU2,1/9/2024,66115
LOU,LOU4,1/9/2024,230731
LOU,LOU1,1/10/2024,107466
LOU,LOU2,1/10/2024,88594
LOU,LOU3,1/10/2024,65458
LOU,LOU5,1/10/2024,33368
LOU,LOU1,1/11/2024,13465
LOU,LOU2,1/11/2024,59063
LOU,LOU3,1/11/2024,44853
LOU,LOU4,1/11/2024,465646
LOU,LOU1,1/12/2024,177498
LOU,LOU2,1/12/2024,80925
LOU,LOU3,1/12/2024,70907
LOU,LOU4,1/12/2024,554738
LOU,LOU5,1/12/2024,36388
LOU,LOU2,1/13/2024,49932
LOU,LOU3,1/13/2024,55913
LOU,LOU4,1/13/2024,702592
LOU,LOU1,1/14/2024,24395
LOU,LOU2,1/14/2024,57123
LOU,LOU4,1/14/2024,371795
LOU,LOU5,1/14/2024,42100
LOU,LOU1,1/15/2024,108418
LOU,LOU2,1/15/2024,23682
LOU,LOU3,1/15/2024,38162
LOU,LOU4,1/15/2024,229351
LOU,LOU2,1/16/2024,96716
LOU,LOU3,1/16/2024,65803
LOU,LOU4,1/16/2024,229697
LOU,LOU1,1/17/2024,28968
LOU,LOU4,1/17/2024,410017
LOU,LOU5,1/17/2024,45043
LOU,LOU3,1/18/2024,8555
LOU,LOU4,1/18/2024,97916
LOU,LOU1,1/19/2024,89206
LOU,LOU2,1/19/2024,30425
LOU,LOU3,1/19/2024,61521
LOU,LOU4,1/19/2024,358803
LOU,LOU5,1/19/2024,74429
LOU,LOU2,1/20/2024,82667
LOU,LOU4,1/20/2024,40313
LOU,LOU1,1/21/2024,155531
LOU,LOU2,1/21/2024,74066
LOU,LOU3,1/21/2024,57787
LOU,LOU2,1/22/2024,58689
LOU,LOU3,1/22/2024,73500
LOU,LOU4,1/22/2024,667040
LOU,LOU5,1/22/2024,28163
LOU,LOU1,1/23/2024,69740
LOU,LOU2,1/23/2024,35445
LOU,LOU3,1/23/2024,135732
LOU,LOU4,1/23/2024,25147
LOU,LOU5,1/23/2024,46429
LOU,LOU1,1/24/2024,61031
LOU,LOU2,1/24/2024,71387
LOU,LOU4,1/24/2024,464992
LOU,LOU1,1/25/2024,103351
LOU,LOU2,1/25/2024,91672
LOU,LOU5,1/25/2024,6359
LOU,LOU1,1/26/2024,23524
LOU,LOU2,1/26/2024,49159
LOU,LOU3,1/26/2024,59614
LOU,LOU5,1/26/2024,6557
LOU,LOU1,1/27/2024,92485
LOU,LOU2,1/27/2024,80314
LOU,LOU3,1/27/2024,138869
LOU,LOU5,1/27/2024,3656
LOU,LOU1,1/28/2024,114295
LOU,LOU2,1/28/2024,49733
LOU,LOU5,1/28/2024,65090
LOU,LOU1,1/29/2024,32593
LOU,LOU2,1/29/2024,84693
LOU,LOU3,1/29/2024,100300
LOU,LOU1,1/30/2024,124189
LOU,LOU2,1/30/2024,60185
LOU,LOU3,1/30/2024,12279
LOU,LOU2,1/31/2024,66194
LOU,LOU3,1/31/2024,23402
LOU,LOU4,1/31/2024,261536
LOU,LOU1,2/1/2024,65968
LOU,LOU2,2/1/2024,34626
LOU,LOU3,2/1/2024,91645
LOU,LOU4,2/1/2024,524480
LOU,LOU1,2/2/2024,143427
LOU,LOU2,2/2/2024,71856
LOU,LOU3,2/2/2024,90214
LOU,LOU4,2/2/2024,1153744
LOU,LOU2,2/3/2024,50458
LOU,LOU1,2/4/2024,91025
LOU,LOU3,2/4/2024,40153
LOU,LOU4,2/4/2024,343888
LOU,LOU1,2/5/2024,49902
LOU,LOU2,2/5/2024,42783
LOU,LOU3,2/5/2024,20366
LOU,LOU4,2/5/2024,349184
LOU,LOU1,2/6/2024,115431
LOU,LOU2,2/6/2024,42256
LOU,LOU3,2/6/2024,67581
LOU,LOU4,2/6/2024,344947
LOU,LOU1,2/7/2024,39620
LOU,LOU2,2/7/2024,67567
LOU,LOU4,2/7/2024,20325
LOU,LOU5,2/7/2024,31932
LOU,LOU1,2/8/2024,45782
LOU,LOU2,2/8/2024,44459
LOU,LOU3,2/8/2024,74393
LOU,LOU4,2/8/2024,42822
LOU,LOU1,2/9/2024,145867
LOU,LOU2,2/9/2024,71246
LOU,LOU4,2/9/2024,897600
LOU,LOU5,2/9/2024,55539
LOU,LOU2,2/10/2024,51159
LOU,LOU3,2/10/2024,51889
LOU,LOU4,2/10/2024,867134
LOU,LOU1,2/11/2024,35703
LOU,LOU2,2/11/2024,5899
LOU,LOU4,2/11/2024,352704
LOU,LOU1,2/12/2024,55541
LOU,LOU2,2/12/2024,27076
LOU,LOU4,2/12/2024,748000
LOU,LOU5,2/12/2024,5013
LOU,LOU1,2/13/2024,64852
LOU,LOU2,2/13/2024,101665
LOU,LOU3,2/13/2024,103151
LOU,LOU4,2/13/2024,973280
LOU,LOU5,2/13/2024,128996
LOU,LOU1,2/14/2024,76463
LOU,LOU2,2/14/2024,19452
LOU,LOU4,2/14/2024,1021790
LOU,LOU1,2/15/2024,111916
LOU,LOU2,2/15/2024,19640
LOU,LOU3,2/15/2024,91980
LOU,LOU2,2/16/2024,44763
LOU,LOU4,2/16/2024,80775
LOU,LOU5,2/16/2024,57224
LOU,LOU1,2/17/2024,28085
LOU,LOU2,2/17/2024,17982
LOU,LOU3,2/17/2024,30257
LOU,LOU1,2/18/2024,63944
LOU,LOU2,2/18/2024,25952
LOU,LOU3,2/18/2024,177784
LOU,LOU5,2/18/2024,85365
LOU,LOU1,2/19/2024,30641
LOU,LOU2,2/19/2024,67648
LOU,LOU4,2/19/2024,120215
LOU,LOU1,2/20/2024,31786
LOU,LOU2,2/20/2024,30252
LOU,LOU4,2/20/2024,193319
LOU,LOU5,2/20/2024,19910
LOU,LOU1,2/21/2024,40455
LOU,LOU2,2/21/2024,67960
LOU,LOU4,2/21/2024,133373
LOU,LOU1,2/22/2024,55796
LOU,LOU2,2/22/2024,42491
LOU,LOU4,2/22/2024,352352
LOU,LOU5,2/22/2024,7372
LOU,LOU1,2/23/2024,15277
LOU,LOU2,2/23/2024,25654
LOU,LOU3,2/23/2024,56962
LOU,LOU4,2/23/2024,249435
