ORG,SHIPPED_DATE,Total_Cases_Shipped
LOU,10/13/2024,194053
LOU,10/14/2024,196994
LOU,10/15/2024,189820
LOU,10/16/2024,199554
LOU,10/17/2024,243891
LOU,10/18/2024,199031
LOU,10/19/2024,215136
LOU,10/20/2024,185854
LOU,10/21/2024,217401
LOU,10/22/2024,203448
LOU,10/23/2024,213948
LOU,10/24/2024,195368
LOU,10/25/2024,193756
LOU,10/26/2024,182826
LOU,10/27/2024,166044
LOU,10/28/2024,239356
LOU,10/29/2024,268273
LOU,10/30/2024,222060
LOU,10/31/2024,221134
LOU,11/1/2024,221852
LOU,11/2/2024,190176
LOU,11/3/2024,195744
LOU,11/4/2024,177924
LOU,11/5/2024,130782
LOU,11/6/2024,149581
LOU,11/7/2024,215556
LOU,11/8/2024,150676
LOU,11/9/2024,159224
LOU,11/10/2024,147428
LOU,11/11/2024,230496
LOU,11/12/2024,220844
LOU,11/13/2024,196734
LOU,11/14/2024,216660
LOU,11/15/2024,268060
LOU,11/16/2024,174156
LOU,11/17/2024,195288
LOU,11/18/2024,202907
LOU,11/19/2024,170100
LOU,11/20/2024,149716
LOU,11/21/2024,154516
LOU,11/22/2024,151774
LOU,11/23/2024,155100
LOU,11/24/2024,126624
LOU,11/25/2024,162972
LOU,11/26/2024,181836
LOU,11/27/2024,92748
LOU,11/28/2024,10812
LOU,11/29/2024,169044
LOU,11/30/2024,147226
LOU,12/1/2024,152280
LOU,12/2/2024,169226
LOU,12/3/2024,176604
LOU,12/4/2024,199650
LOU,12/5/2024,194167
LOU,12/6/2024,177948
LOU,12/7/2024,165620
LOU,12/8/2024,197866
LOU,12/9/2024,193364
LOU,12/10/2024,169808
LOU,12/11/2024,154332
LOU,12/12/2024,191616
LOU,12/13/2024,116016
LOU,12/14/2024,150552
LOU,12/15/2024,197050
LOU,12/16/2024,216943
LOU,12/17/2024,173907
LOU,12/18/2024,184488
LOU,12/19/2024,229346
LOU,12/20/2024,231866
LOU,12/21/2024,167837
LOU,12/22/2024,173722
LOU,12/23/2024,252955
LOU,12/24/2024,69926
LOU,12/26/2024,239063
LOU,12/27/2024,252534
LOU,12/28/2024,193584
LOU,12/29/2024,267611
LOU,12/30/2024,262958
LOU,12/31/2024,128304
LOU,1/1/2025,49524
LOU,1/2/2025,218916
LOU,1/3/2025,194494
LOU,1/4/2025,159566
LOU,1/5/2025,41688
LOU,1/6/2025,6120
LOU,1/7/2025,127452
LOU,1/8/2025,177984
LOU,1/9/2025,203916
LOU,1/10/2025,170988
LOU,1/11/2025,189108
LOU,1/12/2025,234216
LOU,1/13/2025,274860
LOU,1/14/2025,247622
LOU,1/15/2025,282347
LOU,1/16/2025,276504
LOU,1/17/2025,212580
LOU,1/18/2025,174972
LOU,1/19/2025,168804
LOU,1/20/2025,223884
LOU,1/21/2025,273264
LOU,1/22/2025,239772
LOU,1/23/2025,266164
LOU,1/24/2025,285114
LOU,1/25/2025,230880
LOU,1/26/2025,198828
LOU,1/27/2025,234004
LOU,1/28/2025,229364
LOU,1/29/2025,245724
LOU,1/30/2025,198390
LOU,1/31/2025,230347
LOU,2/1/2025,256126
LOU,2/2/2025,243216
LOU,2/3/2025,235368
LOU,2/4/2025,213504
LOU,2/5/2025,227736
LOU,2/6/2025,229916
LOU,2/7/2025,225408
LOU,2/8/2025,167340
LOU,2/9/2025,206676
LOU,2/10/2025,256887
LOU,2/11/2025,225076
LOU,2/12/2025,217622
LOU,2/13/2025,238471
LOU,2/14/2025,225414
LOU,2/15/2025,203262
LOU,2/16/2025,204064
LOU,2/17/2025,267194
LOU,2/18/2025,233917
LOU,2/19/2025,212019
LOU,2/20/2025,217758
LOU,2/21/2025,205616
LOU,2/22/2025,218248
LOU,2/23/2025,209244
LOU,2/24/2025,217322
LOU,2/25/2025,253430
LOU,2/26/2025,238940
LOU,2/27/2025,224910
LOU,2/28/2025,221628
LOU,3/1/2025,216132
LOU,3/2/2025,246856
LOU,3/3/2025,243396
LOU,3/4/2025,240379
LOU,3/5/2025,199644
LOU,3/6/2025,204970
LOU,3/7/2025,177357
LOU,3/8/2025,199623
LOU,3/9/2025,177684
LOU,3/10/2025,179038
LOU,3/11/2025,234156
LOU,3/12/2025,249010
