duration_in_minutes,total_cases_produced_for_day,total_cases_shipped_for_day,line_LOU1,line_LOU2,line_LOU3,line_LOU4,line_LOU5,item_type_SHRF,item_type_LABL,storage_location_type_RSR,storage_location_type_SSR
8.17,107705.0,256696,0,0,0,1,0,0,1,0,1
8.17,80561.0,256696,0,0,0,1,0,0,1,0,1
8.17,78360.0,256696,0,0,0,1,0,0,1,0,1
8.17,128212.0,256696,0,0,0,1,0,0,1,0,1
65.37,25220.0,222420,0,0,0,1,0,0,1,1,0
65.37,37323.0,222420,0,0,0,1,0,0,1,1,0
65.37,92820.0,222420,0,0,0,1,0,0,1,1,0
65.37,180211.0,222420,0,0,0,1,0,0,1,1,0
6.58,119118.0,300988,0,0,0,1,0,0,1,1,0
6.58,67915.0,300988,0,0,0,1,0,0,1,1,0
6.58,207886.0,300988,0,0,0,1,0,0,1,1,0
6.58,90155.0,300988,0,0,0,1,0,0,1,1,0
4.78,119118.0,300988,0,0,0,1,0,0,1,1,0
4.78,67915.0,300988,0,0,0,1,0,0,1,1,0
4.78,207886.0,300988,0,0,0,1,0,0,1,1,0
4.78,90155.0,300988,0,0,0,1,0,0,1,1,0
57.72,48940.0,254724,0,0,1,0,0,1,0,0,1
57.72,77252.0,254724,0,0,1,0,0,1,0,0,1
57.72,211484.0,254724,0,0,1,0,0,1,0,0,1
57.72,1071840.0,254724,0,0,1,0,0,1,0,0,1
57.72,84208.0,254724,0,0,1,0,0,1,0,0,1
6.62,110664.0,254392,0,1,0,0,0,1,0,1,0
6.62,97683.0,254392,0,1,0,0,0,1,0,1,0
6.62,109802.0,254392,0,1,0,0,0,1,0,1,0
6.62,1385935.0,254392,0,1,0,0,0,1,0,1,0
36.13,11287.0,205552,0,1,0,0,0,1,0,1,0
36.13,50927.0,205552,0,1,0,0,0,1,0,1,0
36.13,412488.0,205552,0,1,0,0,0,1,0,1,0
9.0,11287.0,205552,0,1,0,0,0,1,0,0,1
9.0,50927.0,205552,0,1,0,0,0,1,0,0,1
9.0,412488.0,205552,0,1,0,0,0,1,0,0,1
5.72,11287.0,205552,0,1,0,0,0,1,0,0,1
5.72,50927.0,205552,0,1,0,0,0,1,0,0,1
5.72,412488.0,205552,0,1,0,0,0,1,0,0,1
18.03,217783.0,204536,0,1,0,0,0,1,0,1,0
18.03,65442.0,204536,0,1,0,0,0,1,0,1,0
18.03,20840.0,204536,0,1,0,0,0,1,0,1,0
18.03,380019.0,204536,0,1,0,0,0,1,0,1,0
18.03,10870.0,204536,0,1,0,0,0,1,0,1,0
8.02,217783.0,204536,0,1,0,0,0,1,0,1,0
8.02,65442.0,204536,0,1,0,0,0,1,0,1,0
8.02,20840.0,204536,0,1,0,0,0,1,0,1,0
8.02,380019.0,204536,0,1,0,0,0,1,0,1,0
8.02,10870.0,204536,0,1,0,0,0,1,0,1,0
16.98,217783.0,204536,0,1,0,0,0,1,0,0,1
16.98,65442.0,204536,0,1,0,0,0,1,0,0,1
16.98,20840.0,204536,0,1,0,0,0,1,0,0,1
16.98,380019.0,204536,0,1,0,0,0,1,0,0,1
16.98,10870.0,204536,0,1,0,0,0,1,0,0,1
